symptomid	symptom_norm	symptom_ori	count	cui	cui_name	cui_source	metamap_score	cui_def	gpt3_def
0	headache	Headache	137677	C0018681	Headache	UMLS_API		The symptom of PAIN in the cranial region.	A headache is a pain orache in the head.
1	pyrexia	Pyrexia	122753	C0015967	Fever	UMLS_API		An abnormal elevation of body temperature, usually as a result of a pathologic process.	fevers.
2	fatigue	Fatigue	113992	C0015672	Fatigue	UMLS_API		The state of weariness following a period of exertion, mental or physical, characterized by a decreased capacity for work and reduced efficiency to respond to stimuli.	a physical or mental state characterized by a lack of energy and enthusiasm.  I feel fatigued when I have been working hard and I don't have enough energy to do anything else.
3	pain	Pain	104100	C0030193	Pain	UMLS_API		An unpleasant sensation induced by noxious stimuli which are detected by NERVE ENDINGS of NOCICEPTIVE NEURONS.	:  Physical or emotional distress or discomfort caused by injury, illness, or other misfortune.
4	chills	Chills	102179	C0085593	Chills	UMLS_API		The sudden sensation of being cold.	The sensation of coldness that often accompanies the sudden onset of fever.
5	paininextremity	Pain in extremity	79683						Pain in extremity is any pain located in the arms or legs. This type of pain can be caused by a variety of issues, such as injuries, arthritis, and cramps. Treatment for pain in extremity may include medications, therapies, and surgery.
6	nausea	Nausea	78071	C0027497	Nausea	UMLS_API		An unpleasant sensation in the stomach usually accompanied by the urge to vomit.	1: the sensation of wanting to vomit 2: a feeling of uneasiness and illness usually associated with nausea 3: disgust  The definition of Vomit is  1: to eject (material) from the stomach through the mouth 2: to express or discharge violently  Nausea is the feeling of wanting to vomit, while vomit is the act of ejecting material from the stomach through the mouth.
7	dizziness	Dizziness	75899	C0012833	Dizziness	UMLS_API		An imprecise term which may refer to a sense of spatial disorientation, motion of the environment, or lightheadedness.	A feeling of faintness, lightheadedness, or unsteadiness that can be caused by many things, such as a sudden change in blood pressure, standing up too quickly, or problems with the inner ear.
8	injectionsitepain	Injection site pain	52402	C0151828	Injection site pain	UMLS_API			pain or soreness at or near the injection site.  Injection site pain is a common side effect of injections, especially when the injection is given into a muscle. Injection site pain can also occur when an injection is given into a blood vessel.
9	myalgia	Myalgia	50919	C0231528	Myalgia	UMLS_API		Painful sensation in the muscles.	the medical term for muscle pain. Myalgia is a symptom, not a disease. Muscle pain may be associated with various conditions, such as:  - Muscle strain or overuse - Muscle cramps - Fibromyalgia - Polymyalgia rheumatica - Lupus - Rheumatoid arthritis - Muscular dystrophy - Infection (e.g. viral or bacterial) - Toxicity (e.g. from drugs or heavy metals) - Neuromuscular diseases (e.g. myasthenia gravis, multiple sclerosis) - Diabetes
10	arthralgia	Arthralgia	46858	C0003862	Arthralgia	UMLS_API		Pain in the joint.	pain in a joint  Some common causes of arthralgia are:  -Injury to the joint -Overuse of the joint -Arthritis -Infection of the joint -Gout
11	rash	Rash	44300						A skin rash is a change in the color or texture of the skin. Most rashes are not serious, but some can be a sign of a more serious condition.
12	dyspnoea	Dyspnoea	41488	C0013404	Dyspnea	MANUAL		Difficult or labored breathing.	:  Dyspnoea (DYZ-noh-ee) is difficulty breathing. It may be caused by a problem with the lungs, such as an infection or a tumor, or a problem with the heart, such as a heart attack.
13	injectionsiteerythema	Injection site erythema	38343						A red rash or inflammation at the site of an injection.
14	pruritus	Pruritus	38048	C0033774	Pruritus	UMLS_API		An intense itching sensation that produces the urge to rub or scratch the skin to obtain relief.	persistent itching.
15	vomiting	Vomiting	32642	C0042963	Vomiting	UMLS_API		The forcible expulsion of the contents of the STOMACH through the MOUTH.	Retching or vomiting is the involuntary, forceful expulsion of the contents of one's stomach through the mouth.
16	asthenia	Asthenia	31687	C0004093	Asthenia	UMLS_API		Clinical sign or symptom manifested as debility, or lack or loss of strength and energy.	a condition marked by abnormal tiredness or weakness.  Some common symptoms of asthenia may include feeling excessively tired, lacking energy, having a low appetite, feeling lightheaded or dizzy, and experiencing difficulty breathing. Asthenia may be caused by a variety of factors, such as an infection, a chronic condition, or extreme stress. Treatment for asthenia may include rest, medications, and in some cases, surgery.
17	injectionsiteswelling	Injection site swelling	31283	C0151605	injection site swelling	METAMAP_STRING_MATCH			Injection site swelling is the abnormal enlargement of the site where a vaccine or injection was given.
18	covid-19	COVID-19	30839	C5203670	COVID-19	METAMAP_STRING_MATCH		A viral disorder generally characterized by high FEVER; COUGH; DYSPNEA; CHILLS; PERSISTENT TREMOR; MUSCLE PAIN; HEADACHE; SORE THROAT; a new loss of taste and/or smell (see AGEUSIA and ANOSMIA) and other symptoms of a VIRAL PNEUMONIA.	a novel coronavirus discovered in 2019.  COVID-19 is a novel coronavirus that was discovered in 2019. It is similar to other coronaviruses, such as SARS-CoV and MERS-CoV, which can cause severe respiratory illness. As of June 2019, only a limited number of cases have been identified in people in the Middle East, all of whom have since recovered. However, it is possible that COVID-19 could spread to other parts of the world, so it is important to be aware of the symptoms and take precautions to avoid infection.
19	erythema	Erythema	30269	C0041834	Erythema	UMLS_API		Redness of the skin produced by congestion of the capillaries.	skin redness.  Symptoms of erythema include skin redness, warmth, and swelling.
20	noadverseevent	No adverse event	26554	C1963761	No adverse event	UMLS_API			A medical term meaning that an intervention, such as a drug or medical device, does not produce any harmful side effects.
21	diarrhoea	Diarrhoea	26017	C0011991	Diarrhea	MANUAL		An increased liquidity or decreased consistency of FECES, such as running stool.	a condition which is characterised by frequent, watery, and often foul-smelling bowel movements.  Symptoms of diarrhoea usually include cramps, abdominal pain, and frequent watery bowel movements. Occasionally, fever, nausea, and vomiting may also occur. Diarrhoea can be caused by a variety of factors, including infection, food poisoning, medications, and medical conditions. Treatment for diarrhoea depends on the underlying cause.
22	urticaria	Urticaria	24915	C0042109	Urticaria	UMLS_API		A vascular reaction of the skin characterized by erythema and wheal formation due to localized increase of vascular permeability.	an itchy skin rash that is caused by an allergic reaction or an autoimmune disorder.  Urticaria, also known as hives, is a skin condition that is characterized by an itchy, red rash. The rash may also blister and swell. Urticaria is caused by an allergic reaction or an autoimmune disorder. Treatment for urticaria depends on the cause of the rash.
23	paraesthesia	Paraesthesia	24872	C0030554	Paresthesia	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	5.06	Subjective cutaneous sensations (e.g., cold, warmth, tingling, pressure, etc.) that are experienced spontaneously in the absence of stimulation.	A sensation that is not accompanied by an external stimulus.
24	malaise	Malaise	24548	C0231218	Malaise	UMLS_API			:  Unpleasant physical or mental sensations, especially when feeling out of sorts  A feeling of general discomfort or uneasiness  A feeling of being unwell or unhappy
25	feelingabnormal	Feeling abnormal	24342	C1443060	Feeling abnormal	UMLS_API			feeling that something is not right in your body, mind, or emotions
26	hyperhidrosis	Hyperhidrosis	24264	C0020458	Hyperhidrosis disorder	MANUAL		Excessive sweating.	a condition in which there is too much sweat production by the sweat glands.  There are two types of Hyperhidrosis- Primary and Secondary.  Primary Hyperhidrosis is the most common type and is caused by a problem with the sweat glands themselves.  Secondary Hyperhidrosis is caused by an underlying condition, such as overactive thyroid, obesity, and menopause.
27	hypoaesthesia	Hypoaesthesia	23414	C0020580	Hypesthesia	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	5.06	Absent or reduced sensitivity to cutaneous stimulation.	reduced or impaired sensation, especially in the skin.  Some causes of hypoaesthesia are diabetes, shingles, and multiple sclerosis.
28	sars-cov-2testpositive	SARS-CoV-2 test positive	23212	C5244023	SARS-CoV-2 test positive	UMLS_API			a person who has tested positive for SARS-CoV-2.  SARS-CoV-2 is an acronym for severe acute respiratory syndrome coronavirus 2. This is the virus that causes COVID-19, the disease that has been determined to be caused by SARS-CoV-2. Testing positive for SARS-CoV-2 means that a person has been infected with this virus and is likely to develop COVID-19.
29	lymphadenopathy	Lymphadenopathy	22121	C0497156	Lymphadenopathy	UMLS_API		Disease of LYMPH NODES which are abnormal in size, number or consistency.	enlargement of the lymph nodes.  Symptoms of Lymphadenopathy may include:  - Enlargement of one or more lymph nodes - Swelling of the lymph nodes - Tenderness or discomfort around the enlarged nodes - Increased warmth of the skin over the enlarged nodes - Unexplained weight loss - Feeling tired or weak - Fever - Night sweats - Rash
30	cough	Cough	22089	C0010200	Coughing	MANUAL		A sudden, audible expulsion of air from the lungs through a partially closed glottis, preceded by inhalation.	a reflex that clears the air passages of secretion and foreign particles
31	chestpain	Chest pain	22003	C0008031	Chest Pain	UMLS_API		Pressure, burning, or numbness in the chest.	pain or discomfort in the chest.
